skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Hydra		62		hydra	14	144																																												passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)							hydra1	hydra	par3	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																			1	7		none												SC	SC	S1					4															1				1		sorceress_cast_fire	fire_cast_2		30	20														0	1					1	7	40	1	1											ln12	Duration											250	Duration baseline	0	Duration per level	18	# of max Hydras (oldest is removed when the limit is hit)									3	Damage synergy									1								7															fire	210	83	113	143	173	203	293	98	128	158	188	218	stat('energy'.accr)								896	64000	0
Magic Arrow		6		magic arrow												magicarrow																																																																																			magicarrow													1	0	1	rng		miss										A1	A1	xx				1													1												1	20														1	1					0	5	12	-1	1																																															1	10	9						8	128	1	1	1	1	1	1	1	1	1	1	1	1																							256	1000	0
Jab		10		jab	5	7																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1		1												1	20														1	1					1	6	8	1												ln34	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)									20	Damage % baseline	10	Damage % per level																	1	10	9						8	128																																			256	1000	0
Poison Javelin		15		poison javelin	4											poisonjav	1																																																														amazon_cast_poison		1												11						poisonjav													1	2		rng		jave										TH	TH	xx				1													1												6	20												15		1	1					1	6	16	1	1																																					12	Damage synergy									1								0	128														pois	192	96	192	288	384	576	288	96	216	312	408	600	(skill('Plague Javelin'.blvl)) * par8	200	150	150	150				384	3000	0
Charged Strike 		24		charged strike 	6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1			1									18	20														1	1					1	6	16	1	1											par1+lvl/par2	# of Bolt Missiles created					0	% Damage Dealt as Elemental (Used only if there is an Etype)					3	# of Charged Bolt Missiles created baseline	5	Charged Bolt Missile created per N levels											14	Damage synergy									1								8															ltng	12	0	0	0	0	0	360	144	192	240	288	336	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)) * par8								640	16000	0
Lightning Bolt 		20		lightning bolt 	4											lightningjavelin	1																																																																												11						lightningjavelin													1	6		rng		jave										TH	TH	xx																				1									12	20														1	1					1	6	24	1	1																																					3	Damage synergy									1								8	96														ltng	6	0	0	0	0	0	240	72	108	168	288	528	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								512	8000	0
Sacrifice		96		sacrifice	29	64																																																																									paladin_sacrifice		1													34						blood1				3	Random Bonus Range for Blood missile							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1		1												1	20														1	1					0	8	0	0	1											ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	Damage %	"max(par6, par5-lvl/par3)"	Self Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					180	Damage % baseline	15	Damage % per level	3	Self Damage Reduction per level (1/#)	0	Self Damage Minimum Flat Value	8	Self Damage % baseline	1	Self Damage % min	5	Damage synergy	15	Damage synergy									1	20	7						8	128																																			256	1000	0
Shield Split	fragment, holy	415	pal	shield split	39											shieldtossmissle									attackbuffstate				armorclass	(blvl)*clc6																																																	sorceress_cast_cold																				shieldtossmissle													1	8		none		shld										SC	SC	xx																	1			1						sorceress_cast_cold			1	35														1	1					1	8	10	2	1													125								stat('armortoSS'.accr)																										1								8															mag	278	139	174	209	243	278	347	158	192	227	262	295	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoholy'.accr)								896	64000	0
Sword Master 		416	pal	sword master 																																											swordaura	swor		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34 +stat('strength'.accr)	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																1									1	35														0	0					0	8	0	0	1								1															40	Attack Rating % baseline	30	Attack Rating % per level	40	Damage % baseline	40	Damage % per level	0	% chance for Critical Hit Min	50	% chance for Critical Hit Max													1								8																																				256	1000	0
Prayer		99		prayer		65																		73731	prayer	prayer		ln12	hitpoints	edns																																																																																		1	7		none														xx																													1	20														0	1					1	4	16	3	1	1	1		50																			16	Radius baseline	30	Radius per level	40		10				50														1								8																2	1	1	2	2	3															256	1000	0
Resist Fire		100		resist fire		65																		73731	resistfire	resistfire		ln12	fireresist	dm34	maxfireresist	skill('Resist Fire'.blvl)															passive_resistfire			maxfireresist	skill('Resist Fire'.blvl)/2																																																												1	1	8		none														xx																													1	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	30	Radius per level	40	Resistance % Min	10	Resistance % Max			50														1								8																																				256	1000	0
Holy Bolt		101		holy bolt												holybolt																																																															paladin_holybolt_cast											cast_undead									holybolt													1	7		none												SC	SC	xx												1	1				1			1						paladin_holybolt_cast	cast_undead		6	20														1	1					1	4	32	1	1											ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	HP Heal Min value	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	HP Heal Max value									1	HP Heal Min baseline	2	HP Heal Min per level	6	HP Heal Max baseline	4	HP Heal Max per level					20	Healing synergy	50	Damage synergy									1								8															mag	48	48	60	78	96	120	96	48	66	90	108	138	skill('Fist of the Heavens'.blvl)*par8								384	3000	0
Holy Fire		102		holy fire		66																		42883	holyfire			ln12																						firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																											1	0		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			6	Radius baseline	30	Radius per level	40		10		8	Damage multiplier added to Attacks	50	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	10	Damage synergy	21	Damage synergy									1				16385				7															fire	8	4	16	24	28	32	24	8	20	28	32	36	skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7								384	3000	0
Defiance		104		defiance		65																		73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																	1	1	4		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	30	Radius per level	40	Armor % baseline	10	Armor % per level			50														1								8																																				384	3000	0
Resist Cold		105		resist cold		65																		73731	resistcold	resistcold		ln12	coldresist	dm34	maxcoldresist	skill('Resist Cold'.blvl)															passive_resistcold			maxcoldresist	skill('Resist Cold'.blvl)/2																																																												1	1	6		none														xx																													6	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	30	Radius per level	40	Resistance % Min	10	Resistance % Max			50														1								8																																				384	3000	0
Zeal		106		zeal	37	13																																																																								1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	xx						1	1								1		1												12	20					Sacrifice									1	1					1	8	2	0												"min((par5 + lvl -1), par6)"	# of hits	((lvl < 5) ? 0 : ((lvl-4) * par4))+skill('Sacrifice'.blvl)*par8	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)							100	% Anim frame rollback	0	Damage % baseline	6	Damage % per level	2	# of hits Min	5	# of hits Max			12	Damage synergy									1	10	10						8	128																																			512	8000	0
